id,name,messiahLine,levitical,judge,initiallyVisible,hadCollapsedChildren,age,yearsLived,born,died,tribe,spouse,refs,tooltipRaw
839,Ahlai,false,false,false,false,false,,,,,,Jarha- Sheshan's Egyptian servant (1 Chronicles 2:34) (1 Chronicles 2:31),,"Ahlai

Spouse: Jarha- Sheshan's Egyptian servant (1 Chronicles 2:34)
 

(1 Chronicles 2:31)"
840,Sheshan,false,false,false,false,false,,,,,,,,"Sheshan

(1 Chronicles 2:31)"
841,Ishi,false,false,false,false,false,,,,,,,,"Ishi

(1 Chronicles 2:31)"
842,Appaim,false,false,false,false,false,,,,,,,,"Appaim

(1 Chronicles 2:30)"
843,Seled,false,false,false,false,false,,,,,,,,"Seled

(1 Chronicles 2:30)"
844,Nadab,false,false,false,false,false,,,,,,,,(1 Chronicles 2:28)
845,Shammai,false,false,false,false,false,,,,,,,,(1 Chronicles 2:28)
846,Onam,false,false,false,false,false,,,,,,,,"Onam

(1 Chronicles 2:26)"
847,Ahijah,false,false,false,false,false,,,,,,,,"Ahijah

(1 Chronicles 2:25)"
848,Ozem,false,false,false,false,false,,,,,,,,(1 Chronicles 2:25)
849,Oren,false,false,false,false,false,,,,,,,,"Oren

(1 Chronicles 2:25)"
850,Bunah,false,false,false,false,false,,,,,,,,"Bunah

(1 Chronicles 2:25)"
851,Eker,false,false,false,false,false,,,,,,,,"Eker

(1 Chronicles 2:27)"
852,Jamin,false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"Jamin

(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
853,Maaz,false,false,false,false,false,,,,,,,,"Maaz

(1 Chronicles 2:27)"
854,Ram,true,false,false,false,false,,,,,,,,"Ram

(1 Chronicles 2:25)"
855,Meonothai,false,false,false,false,false,,,,,,,,"Meonothai

(1 Chronicles 4:13)"
856,Hathath,false,false,false,false,false,,,,,,,,"Hathath

(1 Chronicles 4:13)"
857,Achsah,false,false,false,false,false,,,,,,,Joshua 15:16; Judges 1:12,"(Joshua 15:16, Judges 1:12)"
858,Kenaz,false,false,false,false,false,,,,,,,,(1 Chronicles 4:15)
859,Naam,false,false,false,false,false,,,,,,,,"Naam

(1 Chronicles 4:15)"
860,Elah,false,false,false,false,false,,,,,,,,"Elah

(1 Chronicles 4:15)"
861,Iru,false,false,false,false,false,,,,,,,,"Iru

(1 Chronicles 4:15)"
862,Ashbea,false,false,false,false,false,,,,,,,,"Ashbea

(1 Chronicles 4:21)Beth-ashbea = house of Ashbea"
863,Mareshah,false,false,false,false,false,,,,,,,,(1 Chronicles 4:21)
864,Ibri,false,false,false,false,false,,,,,,,,"Ibri

(1 Chronicles 24:27)"
865,Zaccur,false,false,false,false,false,,,,,,,,"Zaccur

(1 Chronicles 4:26)"
866,Shoham,false,false,false,false,false,,,,,,,,"Shoham

(1 Chronicles 24:27)"
867,Beno,false,false,false,false,false,,,,,,,,"Beno

(1 Chronicles 24:27)"
868,Jerimoth,false,false,false,false,false,,,,,,,,(1 Chronicles 24:30)
869,Eder,false,false,false,false,false,,,,,,,,(1 Chronicles 24:30)
870,Ethan,false,false,false,false,false,,,,,,,,(1 Chronicles 6:44)
871,Kishi,false,false,false,false,false,,,,,,,,"Kishi

(1 Chronicles 6:44)"
872,Abdi,false,false,false,false,false,,,,,,,,"Abdi

(1 Chronicles 6:44)"
873,Malluch,false,false,false,false,false,,,,,,,,"Malluch

(1 Chronicles 6:44-45)"
874,Hashabiah,false,false,false,false,false,,,,,,,,"Hashabiah

(1 Chronicles 6:45)"
875,Amaziah,false,false,false,false,false,,,,,,,,(1 Chronicles 6:45)
876,Hilkiah,false,false,false,false,false,,,,,,,,(1 Chronicles 6:45-46)
877,Amzi,false,false,false,false,false,,,,,,,,"Amzi

(1 Chronicles 6:46)"
878,Bani,false,false,false,false,false,,,,,,,,"Bani

(1 Chronicles 6:46)"
879,Shemer,false,false,false,false,false,,,,,,,,"Shemer

(1 Chronicles 6:46-47)"
880,Mahli,false,false,false,false,false,,,,,,,Exodus 6:19; Numbers 3:20,"Mahli

(Exodus 6:19, Numbers 3:20, 1 Chronicles 6:19, 1 Chronicles 23:21, 1 Chronicles 24:26)"
881,Mushi,false,false,false,false,false,,,,,,,Exodus 6:19; Numbers 3:20,"Mushi

(Exodus 6:19, Numbers 3:20, 1 Chronicles 6:19, 1 Chronicles 23:21, 1 Chronicles 24:26)"
882,Asiah,false,false,false,false,false,,,,,,,,"Asiah

(1 Chronicles 6:30)"
883,Haggiah,false,false,false,false,false,,,,,,,,"Haggiah

(1 Chronicles 6:30)"
884,Shimea,false,false,false,false,false,,,,,,,,(1 Chronicles 6:29-30)
885,Uzza,false,false,false,false,false,,,,,,,,(1 Chronicles 6:29)
886,Shimei,false,false,false,false,false,,,,,,,,(1 Chronicles 6:29)
887,Libni,false,false,false,false,false,,,,,,,,(1 Chronicles 6:29)
888,Jerahmeel,false,false,false,false,false,,,,,,,,(1 Chronicles 24:29)
889,Kish,false,false,false,false,false,,,,,,,,(1 Chronicles 23:21)
890,Eleazar,true,false,false,false,false,,,,,,,,(1 Chronicles 23:21) Eleazar had no sons (1 Chronicles 24:28)
891,Mahli,false,false,false,false,false,,,,,,,Exodus 6:19; Numbers 3:20,"(Exodus 6:19, Numbers 3:20, 1 Chronicles 6:19, 1 Chronicles 23:21, 1 Chronicles 24:26)"
892,Zechariah,false,false,false,false,false,,,,,,,,(1 Chronicles 24:25)
893,Elzaphan (or Elizaphan or Isshiah),false,false,false,false,false,,,,,,,Exodus 6:22; Numbers 3:30,"Elzaphan (or Elizaphan or Isshiah)

(Exodus 6:22, Numbers 3:30, 1 Chronicles 23:20, 1 Chronicles 24:25)"
